type	position	width	height	error	threshold	polarity	weight
(1, 2)	(2, 7)	13	4	0.033499999999999974	-251.0	1	3.3621358598173643
(1, 2)	(3, 7)	12	4	0.00424648313890108	-242.0	1	5.457408610284305
(1, 2)	(1, 7)	14	4	0.0036910403984162787	-257.0	1	5.598149040783502
(1, 2)	(2, 7)	14	4	0.0031294372693958517	-301.0	1	5.763767732530907
(1, 2)	(3, 7)	13	4	0.0010614366203864911	-283.0	1	6.847069985856654
(1, 2)	(3, 7)	14	4	0.0005241302197144249	-318.0	1	7.553246125987532
(1, 2)	(4, 7)	12	4	0.0020956196174528596	-274.0	1	6.1658081907148885
(1, 2)	(4, 7)	13	4	0.0010520526758556192	-292.0	1	6.855959487342333
(1, 2)	(4, 7)	11	4	0.0021019495831028356	-238.0	1	6.162785830238626
(1, 2)	(5, 7)	11	4	0.0010559391555233777	-236.0	1	6.8522682161815665
