type	position	width	height	error	threshold	polarity	weight
(1, 2)	(2, 7)	13	4	0.033499999999999974	-251.0	1	1
(1, 2)	(3, 7)	14	4	0.03400000000000003	-318.0	1	1
(1, 2)	(3, 7)	12	4	0.03500000000000003	-242.0	1	1
(1, 2)	(3, 7)	13	4	0.03500000000000003	-217.0	1	1
(1, 2)	(4, 7)	11	4	0.035499999999999976	-203.0	1	1
(1, 2)	(4, 7)	12	4	0.03600000000000003	-228.0	1	1
(1, 2)	(1, 7)	14	4	0.03600000000000003	-257.0	1	1
(1, 2)	(2, 7)	14	4	0.03600000000000003	-313.0	1	1
(1, 2)	(4, 7)	13	4	0.03649999999999998	-292.0	1	1
(1, 2)	(4, 7)	14	4	0.03749999999999998	-244.0	1	1
