name	face	image	1	0
Scott_Patterson	actors/faces/Scott_Patterson/Scott_Patterson_102003_52661.jpeg	actors/images/Scott_Patterson/Scott_Patterson_102003.jpeg	data/train/1/Scott_Patterson_102003_52661.png	data/train/0/Scott_Patterson_102003.png
Matthew_Gray_Gubler	actors/faces/Matthew_Gray_Gubler/Matthew_Gray_Gubler_78968_42199.jpeg	actors/images/Matthew_Gray_Gubler/Matthew_Gray_Gubler_78968.jpeg	data/train/1/Matthew_Gray_Gubler_78968_42199.png	data/train/0/Matthew_Gray_Gubler_78968.png
Robert_Knepper	actors/faces/Robert_Knepper/Robert_Knepper_96241_49906.jpeg	actors/images/Robert_Knepper/Robert_Knepper_96241.jpeg	data/train/1/Robert_Knepper_96241_49906.png	data/train/0/Robert_Knepper_96241.png
Billy_Burke	actors/faces/Billy_Burke/Billy_Burke_13049_7435.jpeg	actors/images/Billy_Burke/Billy_Burke_13049.jpeg	data/train/1/Billy_Burke_13049_7435.png	data/train/0/Billy_Burke_13049.png
Jason_Statham	actors/faces/Jason_Statham/Jason_Statham_52999_28479.jpeg	actors/images/Jason_Statham/Jason_Statham_52999.jpeg	data/train/1/Jason_Statham_52999_28479.png	data/train/0/Jason_Statham_52999.png
Joaquin_Phoenix	actors/faces/Joaquin_Phoenix/Joaquin_Phoenix_59089_31623.jpeg	actors/images/Joaquin_Phoenix/Joaquin_Phoenix_59089.jpeg	data/train/1/Joaquin_Phoenix_59089_31623.png	data/train/0/Joaquin_Phoenix_59089.png
Jon_Hamm	actors/faces/Jon_Hamm/Jon_Hamm_63551_33641.jpeg	actors/images/Jon_Hamm/Jon_Hamm_63551.jpeg	data/train/1/Jon_Hamm_63551_33641.png	data/train/0/Jon_Hamm_63551.png
James_Brolin	actors/faces/James_Brolin/James_Brolin_49183_26116.jpeg	actors/images/James_Brolin/James_Brolin_49183.jpeg	data/train/1/James_Brolin_49183_26116.png	data/train/0/James_Brolin_49183.png
Dan_Lauria	actors/faces/Dan_Lauria/Dan_Lauria_26322_14073.jpeg	actors/images/Dan_Lauria/Dan_Lauria_26322.jpeg	data/train/1/Dan_Lauria_26322_14073.png	data/train/0/Dan_Lauria_26322.png
Ian_McKellen	actors/faces/Ian_McKellen/Ian_McKellen_45478_24320.jpeg	actors/images/Ian_McKellen/Ian_McKellen_45478.jpeg	data/train/1/Ian_McKellen_45478_24320.png	data/train/0/Ian_McKellen_45478.png
Victor_Garber	actors/faces/Victor_Garber/Victor_Garber_112750_54858.jpeg	actors/images/Victor_Garber/Victor_Garber_112750.jpeg	data/train/1/Victor_Garber_112750_54858.png	data/train/0/Victor_Garber_112750.png
Ken_Watanabe	actors/faces/Ken_Watanabe/Ken_Watanabe_69218_37054.jpeg	actors/images/Ken_Watanabe/Ken_Watanabe_69218.jpeg	data/train/1/Ken_Watanabe_69218_37054.png	data/train/0/Ken_Watanabe_69218.png
Billy_Zane	actors/faces/Billy_Zane/Billy_Zane_13625_7847.jpeg	actors/images/Billy_Zane/Billy_Zane_13625.jpeg	data/train/1/Billy_Zane_13625_7847.png	data/train/0/Billy_Zane_13625.png
Simon_Pegg	actors/faces/Simon_Pegg/Simon_Pegg_103842_53389.jpeg	actors/images/Simon_Pegg/Simon_Pegg_103842.jpeg	data/train/1/Simon_Pegg_103842_53389.png	data/train/0/Simon_Pegg_103842.png
Mike_Myers	actors/faces/Mike_Myers/Mike_Myers_84038_44340.jpeg	actors/images/Mike_Myers/Mike_Myers_84038.jpeg	data/train/1/Mike_Myers_84038_44340.png	data/train/0/Mike_Myers_84038.png
Ian_McKellen	actors/faces/Ian_McKellen/Ian_McKellen_45448_24299.jpeg	actors/images/Ian_McKellen/Ian_McKellen_45448.jpeg	data/train/1/Ian_McKellen_45448_24299.png	data/train/0/Ian_McKellen_45448.png
Michael_Douglas	actors/faces/Michael_Douglas/Michael_Douglas_81270_43444.jpeg	actors/images/Michael_Douglas/Michael_Douglas_81270.jpeg	data/train/1/Michael_Douglas_81270_43444.png	data/train/0/Michael_Douglas_81270.png
Jon_Hamm	actors/faces/Jon_Hamm/Jon_Hamm_63684_33727.jpeg	actors/images/Jon_Hamm/Jon_Hamm_63684.jpeg	data/train/1/Jon_Hamm_63684_33727.png	data/train/0/Jon_Hamm_63684.png
Gabriel_Macht	actors/faces/Gabriel_Macht/Gabriel_Macht_38262_20312.jpeg	actors/images/Gabriel_Macht/Gabriel_Macht_38262.jpeg	data/train/1/Gabriel_Macht_38262_20312.png	data/train/0/Gabriel_Macht_38262.png
Daniel_Day-Lewis	actors/faces/Daniel_Day-Lewis/Daniel_Day-Lewis_27034_14457.jpeg	actors/images/Daniel_Day-Lewis/Daniel_Day-Lewis_27034.jpeg	data/train/1/Daniel_Day-Lewis_27034_14457.png	data/train/0/Daniel_Day-Lewis_27034.png
Gabriel_Macht	actors/faces/Gabriel_Macht/Gabriel_Macht_38370_20385.jpeg	actors/images/Gabriel_Macht/Gabriel_Macht_38370.jpeg	data/train/1/Gabriel_Macht_38370_20385.png	data/train/0/Gabriel_Macht_38370.png
J.K._Simmons	actors/faces/J.K._Simmons/J.K._Simmons_46690_24814.jpeg	actors/images/J.K._Simmons/J.K._Simmons_46690.jpeg	data/train/1/J.K._Simmons_46690_24814.png	data/train/0/J.K._Simmons_46690.png
Colin_Farrell	actors/faces/Colin_Farrell/Colin_Farrell_24818_13255.jpeg	actors/images/Colin_Farrell/Colin_Farrell_24818.jpeg	data/train/1/Colin_Farrell_24818_13255.png	data/train/0/Colin_Farrell_24818.png
Anthony_Stewart_Head	actors/faces/Anthony_Stewart_Head/Anthony_Stewart_Head_6596_3857.jpeg	actors/images/Anthony_Stewart_Head/Anthony_Stewart_Head_6596.jpeg	data/train/1/Anthony_Stewart_Head_6596_3857.png	data/train/0/Anthony_Stewart_Head_6596.png
Alan_Rickman	actors/faces/Alan_Rickman/Alan_Rickman_2955_1714.jpeg	actors/images/Alan_Rickman/Alan_Rickman_2955.jpeg	data/train/1/Alan_Rickman_2955_1714.png	data/train/0/Alan_Rickman_2955.png
Billy_Burke	actors/faces/Billy_Burke/Billy_Burke_13310_7619.jpeg	actors/images/Billy_Burke/Billy_Burke_13310.jpeg	data/train/1/Billy_Burke_13310_7619.png	data/train/0/Billy_Burke_13310.png
Scott_Patterson	actors/faces/Scott_Patterson/Scott_Patterson_101769_52554.jpeg	actors/images/Scott_Patterson/Scott_Patterson_101769.jpeg	data/train/1/Scott_Patterson_101769_52554.png	data/train/0/Scott_Patterson_101769.png
James_Brolin	actors/faces/James_Brolin/James_Brolin_49070_26054.jpeg	actors/images/James_Brolin/James_Brolin_49070.jpeg	data/train/1/James_Brolin_49070_26054.png	data/train/0/James_Brolin_49070.png
Alan_Alda	actors/faces/Alan_Alda/Alan_Alda_2456_1398.jpeg	actors/images/Alan_Alda/Alan_Alda_2456.jpeg	data/train/1/Alan_Alda_2456_1398.png	data/train/0/Alan_Alda_2456.png
Benicio_Del_Toro	actors/faces/Benicio_Del_Toro/Benicio_Del_Toro_10031_5729.jpeg	actors/images/Benicio_Del_Toro/Benicio_Del_Toro_10031.jpeg	data/train/1/Benicio_Del_Toro_10031_5729.png	data/train/0/Benicio_Del_Toro_10031.png
Billy_Zane	actors/faces/Billy_Zane/Billy_Zane_13398_7689.jpeg	actors/images/Billy_Zane/Billy_Zane_13398.jpeg	data/train/1/Billy_Zane_13398_7689.png	data/train/0/Billy_Zane_13398.png
Oliver_Platt	actors/faces/Oliver_Platt/Oliver_Platt_87872_45623.jpeg	actors/images/Oliver_Platt/Oliver_Platt_87872.jpeg	data/train/1/Oliver_Platt_87872_45623.png	data/train/0/Oliver_Platt_87872.png
Kevin_Costner	actors/faces/Kevin_Costner/Kevin_Costner_70814_38037.jpeg	actors/images/Kevin_Costner/Kevin_Costner_70814.jpeg	data/train/1/Kevin_Costner_70814_38037.png	data/train/0/Kevin_Costner_70814.png
George_Clooney	actors/faces/George_Clooney/George_Clooney_40061_21491.jpeg	actors/images/George_Clooney/George_Clooney_40061.jpeg	data/train/1/George_Clooney_40061_21491.png	data/train/0/George_Clooney_40061.png
James_Marsden	actors/faces/James_Marsden/James_Marsden_49983_26644.jpeg	actors/images/James_Marsden/James_Marsden_49983.jpeg	data/train/1/James_Marsden_49983_26644.png	data/train/0/James_Marsden_49983.png
Alexander_Skarsgård	actors/faces/Alexander_Skarsgård/Alexander_Skarsgård_3654_2199.jpeg	actors/images/Alexander_Skarsgård/Alexander_Skarsgård_3654.jpeg	data/train/1/Alexander_Skarsgård_3654_2199.png	data/train/0/Alexander_Skarsgård_3654.png
Justin_Long	actors/faces/Justin_Long/Justin_Long_67361_35925.jpeg	actors/images/Justin_Long/Justin_Long_67361.jpeg	data/train/1/Justin_Long_67361_35925.png	data/train/0/Justin_Long_67361.png
Leonardo_DiCaprio	actors/faces/Leonardo_DiCaprio/Leonardo_DiCaprio_72978_39217.jpeg	actors/images/Leonardo_DiCaprio/Leonardo_DiCaprio_72978.jpeg	data/train/1/Leonardo_DiCaprio_72978_39217.png	data/train/0/Leonardo_DiCaprio_72978.png
Pierce_Brosnan	actors/faces/Pierce_Brosnan/Pierce_Brosnan_92395_47933.jpeg	actors/images/Pierce_Brosnan/Pierce_Brosnan_92395.jpeg	data/train/1/Pierce_Brosnan_92395_47933.png	data/train/0/Pierce_Brosnan_92395.png
Matt_Czuchry	actors/faces/Matt_Czuchry/Matt_Czuchry_76960_40989.png	actors/images/Matt_Czuchry/Matt_Czuchry_76960.png	data/train/1/Matt_Czuchry_76960_40989.png	data/train/0/Matt_Czuchry_76960.png
Taylor_Lautner	actors/faces/Taylor_Lautner/Taylor_Lautner_106589_54340.jpeg	actors/images/Taylor_Lautner/Taylor_Lautner_106589.jpeg	data/train/1/Taylor_Lautner_106589_54340.png	data/train/0/Taylor_Lautner_106589.png
Robert_Knepper	actors/faces/Robert_Knepper/Robert_Knepper_96197_49883.jpeg	actors/images/Robert_Knepper/Robert_Knepper_96197.jpeg	data/train/1/Robert_Knepper_96197_49883.png	data/train/0/Robert_Knepper_96197.png
Taylor_Lautner	actors/faces/Taylor_Lautner/Taylor_Lautner_106595_54346.jpeg	actors/images/Taylor_Lautner/Taylor_Lautner_106595.jpeg	data/train/1/Taylor_Lautner_106595_54346.png	data/train/0/Taylor_Lautner_106595.png
Woody_Allen	actors/faces/Woody_Allen/Woody_Allen_117085_55050.jpeg	actors/images/Woody_Allen/Woody_Allen_117085.jpeg	data/train/1/Woody_Allen_117085_55050.png	data/train/0/Woody_Allen_117085.png
Giovanni_Ribisi	actors/faces/Giovanni_Ribisi/Giovanni_Ribisi_41393_22172.jpeg	actors/images/Giovanni_Ribisi/Giovanni_Ribisi_41393.jpeg	data/train/1/Giovanni_Ribisi_41393_22172.png	data/train/0/Giovanni_Ribisi_41393.png
Rupert_Grint	actors/faces/Rupert_Grint/Rupert_Grint_99014_51096.jpeg	actors/images/Rupert_Grint/Rupert_Grint_99014.jpeg	data/train/1/Rupert_Grint_99014_51096.png	data/train/0/Rupert_Grint_99014.png
Brendan_Fraser	actors/faces/Brendan_Fraser/Brendan_Fraser_15132_8607.jpeg	actors/images/Brendan_Fraser/Brendan_Fraser_15132.jpeg	data/train/1/Brendan_Fraser_15132_8607.png	data/train/0/Brendan_Fraser_15132.png
Don_Cheadle	actors/faces/Don_Cheadle/Don_Cheadle_33325_17747.jpeg	actors/images/Don_Cheadle/Don_Cheadle_33325.jpeg	data/train/1/Don_Cheadle_33325_17747.png	data/train/0/Don_Cheadle_33325.png
Jason_Statham	actors/faces/Jason_Statham/Jason_Statham_52892_28433.jpeg	actors/images/Jason_Statham/Jason_Statham_52892.jpeg	data/train/1/Jason_Statham_52892_28433.png	data/train/0/Jason_Statham_52892.png
Jaden_Smith	actors/faces/Jaden_Smith/Jaden_Smith_48107_25556.jpeg	actors/images/Jaden_Smith/Jaden_Smith_48107.jpeg	data/train/1/Jaden_Smith_48107_25556.png	data/train/0/Jaden_Smith_48107.png
Kit_Harington	actors/faces/Kit_Harington/Kit_Harington_72139_38710.jpeg	actors/images/Kit_Harington/Kit_Harington_72139.jpeg	data/train/1/Kit_Harington_72139_38710.png	data/train/0/Kit_Harington_72139.png
Bill_Cosby	actors/faces/Bill_Cosby/Bill_Cosby_11159_6277.jpeg	actors/images/Bill_Cosby/Bill_Cosby_11159.jpeg	data/train/1/Bill_Cosby_11159_6277.png	data/train/0/Bill_Cosby_11159.png
James_Frain	actors/faces/James_Frain/James_Frain_49385_26244.jpeg	actors/images/James_Frain/James_Frain_49385.jpeg	data/train/1/James_Frain_49385_26244.png	data/train/0/James_Frain_49385.png
Kit_Harington	actors/faces/Kit_Harington/Kit_Harington_72083_38678.jpeg	actors/images/Kit_Harington/Kit_Harington_72083.jpeg	data/train/1/Kit_Harington_72083_38678.png	data/train/0/Kit_Harington_72083.png
Jason_Bateman	actors/faces/Jason_Bateman/Jason_Bateman_51864_27752.jpeg	actors/images/Jason_Bateman/Jason_Bateman_51864.jpeg	data/train/1/Jason_Bateman_51864_27752.png	data/train/0/Jason_Bateman_51864.png
Adam_McKay	actors/faces/Adam_McKay/Adam_McKay_795_473.jpeg	actors/images/Adam_McKay/Adam_McKay_795.jpeg	data/train/1/Adam_McKay_795_473.png	data/train/0/Adam_McKay_795.png
Bradley_Cooper	actors/faces/Bradley_Cooper/Bradley_Cooper_14710_8538.jpeg	actors/images/Bradley_Cooper/Bradley_Cooper_14710.jpeg	data/train/1/Bradley_Cooper_14710_8538.png	data/train/0/Bradley_Cooper_14710.png
Ryan_Reynolds	actors/faces/Ryan_Reynolds/Ryan_Reynolds_100360_51902.jpeg	actors/images/Ryan_Reynolds/Ryan_Reynolds_100360.jpeg	data/train/1/Ryan_Reynolds_100360_51902.png	data/train/0/Ryan_Reynolds_100360.png
Matt_Czuchry	actors/faces/Matt_Czuchry/Matt_Czuchry_76911_40959.jpeg	actors/images/Matt_Czuchry/Matt_Czuchry_76911.jpeg	data/train/1/Matt_Czuchry_76911_40959.png	data/train/0/Matt_Czuchry_76911.png
Jeffrey_Tambor	actors/faces/Jeffrey_Tambor/Jeffrey_Tambor_55266_29326.jpeg	actors/images/Jeffrey_Tambor/Jeffrey_Tambor_55266.jpeg	data/train/1/Jeffrey_Tambor_55266_29326.png	data/train/0/Jeffrey_Tambor_55266.png
Mel_Gibson	actors/faces/Mel_Gibson/Mel_Gibson_80707_43319.jpeg	actors/images/Mel_Gibson/Mel_Gibson_80707.jpeg	data/train/1/Mel_Gibson_80707_43319.png	data/train/0/Mel_Gibson_80707.png
Alan_Rickman	actors/faces/Alan_Rickman/Alan_Rickman_2945_1706.jpeg	actors/images/Alan_Rickman/Alan_Rickman_2945.jpeg	data/train/1/Alan_Rickman_2945_1706.png	data/train/0/Alan_Rickman_2945.png
Jason_Lee	actors/faces/Jason_Lee/Jason_Lee_118833_55625.jpeg	actors/images/Jason_Lee/Jason_Lee_118833.jpeg	data/train/1/Jason_Lee_118833_55625.png	data/train/0/Jason_Lee_118833.png
Richard_Madden	actors/faces/Richard_Madden/Richard_Madden_94010_48684.jpeg	actors/images/Richard_Madden/Richard_Madden_94010.jpeg	data/train/1/Richard_Madden_94010_48684.png	data/train/0/Richard_Madden_94010.png
Ben_Kingsley	actors/faces/Ben_Kingsley/Ben_Kingsley_9064_5093.jpeg	actors/images/Ben_Kingsley/Ben_Kingsley_9064.jpeg	data/train/1/Ben_Kingsley_9064_5093.png	data/train/0/Ben_Kingsley_9064.png
Jensen_Ackles	actors/faces/Jensen_Ackles/Jensen_Ackles_55670_29582.jpeg	actors/images/Jensen_Ackles/Jensen_Ackles_55670.jpeg	data/train/1/Jensen_Ackles_55670_29582.png	data/train/0/Jensen_Ackles_55670.png
Misha_Collins	actors/faces/Misha_Collins/Misha_Collins_84543_44638.jpeg	actors/images/Misha_Collins/Misha_Collins_84543.jpeg	data/train/1/Misha_Collins_84543_44638.png	data/train/0/Misha_Collins_84543.png
Ewan_McGregor	actors/faces/Ewan_McGregor/Ewan_McGregor_37103_19557.jpeg	actors/images/Ewan_McGregor/Ewan_McGregor_37103.jpeg	data/train/1/Ewan_McGregor_37103_19557.png	data/train/0/Ewan_McGregor_37103.png
Keanu_Reeves	actors/faces/Keanu_Reeves/Keanu_Reeves_68757_36784.jpeg	actors/images/Keanu_Reeves/Keanu_Reeves_68757.jpeg	data/train/1/Keanu_Reeves_68757_36784.png	data/train/0/Keanu_Reeves_68757.png
Joshua_Jackson	actors/faces/Joshua_Jackson/Joshua_Jackson_66184_35406.jpeg	actors/images/Joshua_Jackson/Joshua_Jackson_66184.jpeg	data/train/1/Joshua_Jackson_66184_35406.png	data/train/0/Joshua_Jackson_66184.png
Gabriel_Macht	actors/faces/Gabriel_Macht/Gabriel_Macht_38369_20384.jpeg	actors/images/Gabriel_Macht/Gabriel_Macht_38369.jpeg	data/train/1/Gabriel_Macht_38369_20384.png	data/train/0/Gabriel_Macht_38369.png
Woody_Allen	actors/faces/Woody_Allen/Woody_Allen_117312_55147.jpeg	actors/images/Woody_Allen/Woody_Allen_117312.jpeg	data/train/1/Woody_Allen_117312_55147.png	data/train/0/Woody_Allen_117312.png
Kevin_Costner	actors/faces/Kevin_Costner/Kevin_Costner_70838_38052.jpeg	actors/images/Kevin_Costner/Kevin_Costner_70838.jpeg	data/train/1/Kevin_Costner_70838_38052.png	data/train/0/Kevin_Costner_70838.png
Alan_Alda	actors/faces/Alan_Alda/Alan_Alda_2317_1295.jpeg	actors/images/Alan_Alda/Alan_Alda_2317.jpeg	data/train/1/Alan_Alda_2317_1295.png	data/train/0/Alan_Alda_2317.png
Geoffrey_Rush	actors/faces/Geoffrey_Rush/Geoffrey_Rush_39700_21254.jpeg	actors/images/Geoffrey_Rush/Geoffrey_Rush_39700.jpeg	data/train/1/Geoffrey_Rush_39700_21254.png	data/train/0/Geoffrey_Rush_39700.png
Freddy_Prinze_Jr.	actors/faces/Freddy_Prinze_Jr./Freddy_Prinze_Jr._37683_19940.jpeg	actors/images/Freddy_Prinze_Jr./Freddy_Prinze_Jr._37683.jpeg	data/train/1/Freddy_Prinze_Jr._37683_19940.png	data/train/0/Freddy_Prinze_Jr._37683.png
Harrison_Ford	actors/faces/Harrison_Ford/Harrison_Ford_42384_22658.jpeg	actors/images/Harrison_Ford/Harrison_Ford_42384.jpeg	data/train/1/Harrison_Ford_42384_22658.png	data/train/0/Harrison_Ford_42384.png
Adrien_Brody	actors/faces/Adrien_Brody/Adrien_Brody_1444_758.jpeg	actors/images/Adrien_Brody/Adrien_Brody_1444.jpeg	data/train/1/Adrien_Brody_1444_758.png	data/train/0/Adrien_Brody_1444.png
Alexander_Skarsgård	actors/faces/Alexander_Skarsgård/Alexander_Skarsgård_3571_2135.jpeg	actors/images/Alexander_Skarsgård/Alexander_Skarsgård_3571.jpeg	data/train/1/Alexander_Skarsgård_3571_2135.png	data/train/0/Alexander_Skarsgård_3571.png
Luke_Wilson	actors/faces/Luke_Wilson/Luke_Wilson_74071_39849.jpeg	actors/images/Luke_Wilson/Luke_Wilson_74071.jpeg	data/train/1/Luke_Wilson_74071_39849.png	data/train/0/Luke_Wilson_74071.png
Benicio_Del_Toro	actors/faces/Benicio_Del_Toro/Benicio_Del_Toro_10008_5714.jpeg	actors/images/Benicio_Del_Toro/Benicio_Del_Toro_10008.jpeg	data/train/1/Benicio_Del_Toro_10008_5714.png	data/train/0/Benicio_Del_Toro_10008.png
Seth_Rogen	actors/faces/Seth_Rogen/Seth_Rogen_103367_53095.jpeg	actors/images/Seth_Rogen/Seth_Rogen_103367.jpeg	data/train/1/Seth_Rogen_103367_53095.png	data/train/0/Seth_Rogen_103367.png
Gary_Dourdan	actors/faces/Gary_Dourdan/Gary_Dourdan_38728_20624.jpeg	actors/images/Gary_Dourdan/Gary_Dourdan_38728.jpeg	data/train/1/Gary_Dourdan_38728_20624.png	data/train/0/Gary_Dourdan_38728.png
Billy_Burke	actors/faces/Billy_Burke/Billy_Burke_13152_7516.jpeg	actors/images/Billy_Burke/Billy_Burke_13152.jpeg	data/train/1/Billy_Burke_13152_7516.png	data/train/0/Billy_Burke_13152.png
Samuel_L._Jackson	actors/faces/Samuel_L._Jackson/Samuel_L._Jackson_101559_52439.jpeg	actors/images/Samuel_L._Jackson/Samuel_L._Jackson_101559.jpeg	data/train/1/Samuel_L._Jackson_101559_52439.png	data/train/0/Samuel_L._Jackson_101559.png
Dominic_Monaghan	actors/faces/Dominic_Monaghan/Dominic_Monaghan_32846_17480.jpeg	actors/images/Dominic_Monaghan/Dominic_Monaghan_32846.jpeg	data/train/1/Dominic_Monaghan_32846_17480.png	data/train/0/Dominic_Monaghan_32846.png
Ken_Watanabe	actors/faces/Ken_Watanabe/Ken_Watanabe_69263_37078.jpeg	actors/images/Ken_Watanabe/Ken_Watanabe_69263.jpeg	data/train/1/Ken_Watanabe_69263_37078.png	data/train/0/Ken_Watanabe_69263.png
Mark_Wahlberg	actors/faces/Mark_Wahlberg/Mark_Wahlberg_75274_40451.jpeg	actors/images/Mark_Wahlberg/Mark_Wahlberg_75274.jpeg	data/train/1/Mark_Wahlberg_75274_40451.png	data/train/0/Mark_Wahlberg_75274.png
Russell_Crowe	actors/faces/Russell_Crowe/Russell_Crowe_99445_51357.jpeg	actors/images/Russell_Crowe/Russell_Crowe_99445.jpeg	data/train/1/Russell_Crowe_99445_51357.png	data/train/0/Russell_Crowe_99445.png
Jaden_Smith	actors/faces/Jaden_Smith/Jaden_Smith_48270_25633.jpeg	actors/images/Jaden_Smith/Jaden_Smith_48270.jpeg	data/train/1/Jaden_Smith_48270_25633.png	data/train/0/Jaden_Smith_48270.png
Chris_Evans	actors/faces/Chris_Evans/Chris_Evans_21143_11065.jpeg	actors/images/Chris_Evans/Chris_Evans_21143.jpeg	data/train/1/Chris_Evans_21143_11065.png	data/train/0/Chris_Evans_21143.png
Alan_Arkin	actors/faces/Alan_Arkin/Alan_Arkin_2794_1616.jpeg	actors/images/Alan_Arkin/Alan_Arkin_2794.jpeg	data/train/1/Alan_Arkin_2794_1616.png	data/train/0/Alan_Arkin_2794.png
Jackie_Chan	actors/faces/Jackie_Chan/Jackie_Chan_47211_25061.jpeg	actors/images/Jackie_Chan/Jackie_Chan_47211.jpeg	data/train/1/Jackie_Chan_47211_25061.png	data/train/0/Jackie_Chan_47211.png
Richard_E._Grant	actors/faces/Richard_E._Grant/Richard_E._Grant_93205_48210.jpeg	actors/images/Richard_E._Grant/Richard_E._Grant_93205.jpeg	data/train/1/Richard_E._Grant_93205_48210.png	data/train/0/Richard_E._Grant_93205.png
Norman_Reedus	actors/faces/Norman_Reedus/Norman_Reedus_87614_45521.jpeg	actors/images/Norman_Reedus/Norman_Reedus_87614.jpeg	data/train/1/Norman_Reedus_87614_45521.png	data/train/0/Norman_Reedus_87614.png
Clive_Owen	actors/faces/Clive_Owen/Clive_Owen_24442_13010.jpeg	actors/images/Clive_Owen/Clive_Owen_24442.jpeg	data/train/1/Clive_Owen_24442_13010.png	data/train/0/Clive_Owen_24442.png
James_Franco	actors/faces/James_Franco/James_Franco_49672_26439.jpeg	actors/images/James_Franco/James_Franco_49672.jpeg	data/train/1/James_Franco_49672_26439.png	data/train/0/James_Franco_49672.png
Bill_Nighy	actors/faces/Bill_Nighy/Bill_Nighy_12136_6897.jpeg	actors/images/Bill_Nighy/Bill_Nighy_12136.jpeg	data/train/1/Bill_Nighy_12136_6897.png	data/train/0/Bill_Nighy_12136.png
Clive_Owen	actors/faces/Clive_Owen/Clive_Owen_24438_13008.jpeg	actors/images/Clive_Owen/Clive_Owen_24438.jpeg	data/train/1/Clive_Owen_24438_13008.png	data/train/0/Clive_Owen_24438.png
James_Marsden	actors/faces/James_Marsden/James_Marsden_50085_26720.jpeg	actors/images/James_Marsden/James_Marsden_50085.jpeg	data/train/1/James_Marsden_50085_26720.png	data/train/0/James_Marsden_50085.png
Jensen_Ackles	actors/faces/Jensen_Ackles/Jensen_Ackles_55549_29507.jpeg	actors/images/Jensen_Ackles/Jensen_Ackles_55549.jpeg	data/train/1/Jensen_Ackles_55549_29507.png	data/train/0/Jensen_Ackles_55549.png
James_Franco	actors/faces/James_Franco/James_Franco_49944_26615.jpeg	actors/images/James_Franco/James_Franco_49944.jpeg	data/train/1/James_Franco_49944_26615.png	data/train/0/James_Franco_49944.png
